City,Year,avg_city_temp
Addis Abeba,1893,17.008916666666668
Addis Abeba,1894,16.983583333333332
Addis Abeba,1895,17.15525
Addis Abeba,1896,17.185750000000002
Addis Abeba,1897,17.429333333333336
Addis Abeba,1898,17.791999999999998
Addis Abeba,1899,17.43625
Addis Abeba,1900,17.31141666666667
Addis Abeba,1901,17.611250000000002
Addis Abeba,1902,17.224666666666668
Addis Abeba,1903,17.1375
Addis Abeba,1904,17.20025
Addis Abeba,1905,17.18766666666667
Addis Abeba,1906,17.113833333333336
Addis Abeba,1907,16.83158333333333
Addis Abeba,1908,17.16375
Addis Abeba,1909,16.743166666666667
