Country,State,Year,Month,PredictedTemp
4,169,2014,1,29.727303999999965
4,169,2014,2,29.727303999999965
4,169,2014,3,29.727303999999968
4,169,2014,4,29.727303999999968
4,169,2014,5,29.727327999999968
4,169,2014,6,29.727323999999967
4,169,2014,7,29.72734399999997
4,169,2014,8,29.727331999999965
4,172,2013,9,29.27099199999994
4,172,2013,10,29.27099199999994
4,172,2013,11,29.27099199999994
4,172,2013,12,29.270995999999936
4,172,2014,1,29.27098799999994
4,172,2014,2,29.27098799999994
4,172,2014,3,29.27098799999994
4,172,2014,4,29.27098799999994
4,172,2014,5,29.270991999999936
4,172,2014,6,29.270983999999938
4,172,2014,7,29.27098799999994
4,172,2014,8,29.27099199999994
4,192,2013,9,10.904996000000033
4,192,2013,10,10.904996000000033
4,192,2013,11,10.904996000000033
4,192,2013,12,10.904996000000033
4,192,2014,1,10.904996000000033
4,192,2014,2,10.904996000000033
4,192,2014,3,10.904996000000033
4,192,2014,4,10.904996000000033
4,192,2014,5,10.904996000000033
4,192,2014,6,10.904996000000033
4,192,2014,7,10.904996000000033
4,192,2014,8,10.904996000000033
4,200,2013,9,27.914999999999967
4,200,2013,10,27.914999999999967
4,200,2013,11,27.914999999999967
4,200,2013,12,27.914999999999967
4,200,2014,1,27.914999999999967
4,200,2014,2,27.914999999999967
4,200,2014,3,27.914999999999967
4,200,2014,4,27.914999999999967
4,200,2014,5,27.914999999999967
4,200,2014,6,27.914999999999967
4,200,2014,7,27.914999999999967
4,200,2014,8,27.914999999999967
4,209,2013,9,28.30000800000012
4,209,2013,10,28.30000800000012
4,209,2013,11,28.30000800000012
4,209,2013,12,28.30000800000012
4,209,2014,1,28.30000800000012
4,209,2014,2,28.30000800000012
4,209,2014,3,28.30000800000012
4,209,2014,4,28.30000800000012
4,209,2014,5,28.30000800000012
4,209,2014,6,28.30000800000012
4,209,2014,7,28.30000800000012
4,209,2014,8,28.30000800000012
4,218,2013,9,28.99401599999992
